WT2017,WT2018,WT2019,WT2020,WT2021,WT2022,WT2023
1042.468158,1146.714974,1261.386471,1387.525118,1526.27763,1678.905393,1846.795933
1042.468158,1146.714974,1261.386471,1387.525118,1526.27763,1678.905393,1846.795933
1042.468158,1146.714974,1261.386471,1387.525118,1526.27763,1678.905393,1846.795933
1042.468158,1146.714974,1261.386471,1387.525118,1526.27763,1678.905393,1846.795933
1042.468158,1146.714974,1261.386471,1387.525118,1526.27763,1678.905393,1846.795933
1042.468158,1146.714974,1261.386471,1387.525118,1526.27763,1678.905393,1846.795933
1042.468158,1146.714974,1261.386471,1387.525118,1526.27763,1678.905393,1846.795933
1042.468158,1146.714974,1261.386471,1387.525118,1526.27763,1678.905393,1846.795933
1042.468158,1146.714974,1261.386471,1387.525118,1526.27763,1678.905393,1846.795933
1042.468158,1146.714974,1261.386471,1387.525118,1526.27763,1678.905393,1846.795933
1042.468158,1146.714974,1261.386471,1387.525118,1526.27763,1678.905393,1846.795933
1042.468158,1146.714974,1261.386471,1387.525118,1526.27763,1678.905393,1846.795933
1042.468158,1146.714974,1261.386471,1387.525118,1526.27763,1678.905393,1846.795933
1042.468158,1146.714974,1261.386471,1387.525118,1526.27763,1678.905393,1846.795933
1042.468158,1146.714974,1261.386471,1387.525118,1526.27763,1678.905393,1846.795933
1042.468158,1146.714974,1261.386471,1387.525118,1526.27763,1678.905393,1846.795933
1042.468158,1146.714974,1261.386471,1387.525118,1526.27763,1678.905393,1846.795933
1042.468158,1146.714974,1261.386471,1387.525118,1526.27763,1678.905393,1846.795933
1042.468158,1146.714974,1261.386471,1387.525118,1526.27763,1678.905393,1846.795933
1042.468158,1146.714974,1261.386471,1387.525118,1526.27763,1678.905393,1846.795933
1042.468158,1146.714974,1261.386471,1387.525118,1526.27763,1678.905393,1846.795933
1042.468158,1146.714974,1261.386471,1387.525118,1526.27763,1678.905393,1846.795933
1042.468158,1146.714974,1261.386471,1387.525118,1526.27763,1678.905393,1846.795933
1042.468158,1146.714974,1261.386471,1387.525118,1526.27763,1678.905393,1846.795933
1042.468158,1146.714974,1261.386471,1387.525118,1526.27763,1678.905393,1846.795933
1042.468158,1146.714974,1261.386471,1387.525118,1526.27763,1678.905393,1846.795933
1042.468158,1146.714974,1261.386471,1387.525118,1526.27763,1678.905393,1846.795933
1042.468158,1146.714974,1261.386471,1387.525118,1526.27763,1678.905393,1846.795933
1042.468158,1146.714974,1261.386471,1387.525118,1526.27763,1678.905393,1846.795933
1042.468158,1146.714974,1261.386471,1387.525118,1526.27763,1678.905393,1846.795933
1042.468158,1146.714974,1261.386471,1387.525118,1526.27763,1678.905393,1846.795933
1042.468158,1146.714974,1261.386471,1387.525118,1526.27763,1678.905393,1846.795933
1042.468158,1146.714974,1261.386471,1387.525118,1526.27763,1678.905393,1846.795933
1042.468158,1146.714974,1261.386471,1387.525118,1526.27763,1678.905393,1846.795933
1042.468158,1146.714974,1261.386471,1387.525118,1526.27763,1678.905393,1846.795933
1042.468158,1146.714974,1261.386471,1387.525118,1526.27763,1678.905393,1846.795933
1042.468158,1146.714974,1261.386471,1387.525118,1526.27763,1678.905393,1846.795933
1042.468158,1146.714974,1261.386471,1387.525118,1526.27763,1678.905393,1846.795933
1042.468158,1146.714974,1261.386471,1387.525118,1526.27763,1678.905393,1846.795933
1042.468158,1146.714974,1261.386471,1387.525118,1526.27763,1678.905393,1846.795933
1042.468158,1146.714974,1261.386471,1387.525118,1526.27763,1678.905393,1846.795933
1042.468158,1146.714974,1261.386471,1387.525118,1526.27763,1678.905393,1846.795933
1042.468158,1146.714974,1261.386471,1387.525118,1526.27763,1678.905393,1846.795933
1042.468158,1146.714974,1261.386471,1387.525118,1526.27763,1678.905393,1846.795933
1042.468158,1146.714974,1261.386471,1387.525118,1526.27763,1678.905393,1846.795933
1042.468158,1146.714974,1261.386471,1387.525118,1526.27763,1678.905393,1846.795933
1042.468158,1146.714974,1261.386471,1387.525118,1526.27763,1678.905393,1846.795933
1042.468158,1146.714974,1261.386471,1387.525118,1526.27763,1678.905393,1846.795933
1042.468158,1146.714974,1261.386471,1387.525118,1526.27763,1678.905393,1846.795933
1042.468158,1146.714974,1261.386471,1387.525118,1526.27763,1678.905393,1846.795933
1042.468158,1146.714974,1261.386471,1387.525118,1526.27763,1678.905393,1846.795933
1042.468158,1146.714974,1261.386471,1387.525118,1526.27763,1678.905393,1846.795933
1042.468158,1146.714974,1261.386471,1387.525118,1526.27763,1678.905393,1846.795933
1042.468158,1146.714974,1261.386471,1387.525118,1526.27763,1678.905393,1846.795933
1042.468158,1146.714974,1261.386471,1387.525118,1526.27763,1678.905393,1846.795933
1042.468158,1146.714974,1261.386471,1387.525118,1526.27763,1678.905393,1846.795933
1042.468158,1146.714974,1261.386471,1387.525118,1526.27763,1678.905393,1846.795933
1042.468158,1146.714974,1261.386471,1387.525118,1526.27763,1678.905393,1846.795933
1042.468158,1146.714974,1261.386471,1387.525118,1526.27763,1678.905393,1846.795933
1042.468158,1146.714974,1261.386471,1387.525118,1526.27763,1678.905393,1846.795933
1042.468158,1146.714974,1261.386471,1387.525118,1526.27763,1678.905393,1846.795933
1042.468158,1146.714974,1261.386471,1387.525118,1526.27763,1678.905393,1846.795933
1042.468158,1146.714974,1261.386471,1387.525118,1526.27763,1678.905393,1846.795933
1042.468158,1146.714974,1261.386471,1387.525118,1526.27763,1678.905393,1846.795933
1042.468158,1146.714974,1261.386471,1387.525118,1526.27763,1678.905393,1846.795933
